Player ID,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,37,6,25.8,3.6,8.4,0.429,0.4,1.9,0.188,3.2,6.5,0.498,0.45,3.3,4.1,0.807,1.3,3.3,4.6,2.9,1.3,0.8,2.0,2.6,10.8
51,14,0,2.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.75,0.1,0.3,0.4,0.1,0.1,0.0,0.0,0.2,0.2
52,9,0,1.6,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
53,8,1,15.6,2.6,4.8,0.553,0.0,0.0,,2.6,4.8,0.553,0.553,2.6,3.8,0.7,1.9,2.6,4.5,1.1,0.4,0.8,0.8,2.0,7.9
54,2,0,1.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0
55,37,36,19.5,3.2,4.9,0.646,0.1,0.1,0.4,3.1,4.8,0.653,0.652,1.6,2.4,0.667,2.9,4.9,7.8,0.7,0.4,0.6,0.8,2.9,8.0
56,35,30,21.0,3.1,6.3,0.495,0.5,1.4,0.333,2.7,4.9,0.541,0.532,1.5,1.9,0.794,1.6,2.4,3.9,1.0,0.3,0.2,1.1,1.2,8.2
57,3,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
58,11,0,1.1,0.1,0.2,0.5,0.0,0.0,,0.1,0.2,0.5,0.5,0.0,0.0,,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.2
59,27,26,27.5,5.1,9.4,0.545,0.4,1.6,0.256,4.7,7.8,0.605,0.567,4.4,6.5,0.686,1.8,4.0,5.8,1.9,1.6,0.7,1.7,2.6,15.1
60,2,0,2.0,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0
61,36,0,17.5,2.3,4.3,0.523,0.1,0.4,0.125,2.2,3.9,0.568,0.529,1.1,1.6,0.732,1.0,2.0,3.0,1.4,0.5,0.4,1.3,2.0,5.7
62,21,18,31.8,4.6,12.0,0.379,1.7,5.0,0.34,2.9,7.0,0.408,0.451,2.6,3.1,0.833,0.5,2.8,3.2,5.1,1.5,0.0,1.4,1.8,13.5
63,1,0,6.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
64,36,36,34.5,4.1,10.2,0.401,1.1,3.8,0.304,2.9,6.4,0.457,0.456,1.9,2.3,0.817,0.3,2.4,2.7,3.6,1.0,0.1,2.2,1.4,11.2
65,4,0,1.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
