Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Ja'Von Benson,21,SR,F,6-7,251.0,"Columbia, SC",Ridgeview HS,Ole Miss
Cam Brent,55,SR,G,5-5,130.0,"Jackson, MS",Jackson Prep (MS),Ole Miss
Robert Cowherd,6,SO,G,6-5,200.0,"Grayson, GA",Southern California Academy (CA),Ole Miss
Marquel Sutton,10,SR,F,6-7,205.0,"Tulsa, OK",Will Rogers (OK),Omaha
JJ White,1,SR,G,6-2,185.0,"Lawrenceville, GA",Norman North (OK),Omaha
Tony Osburn,32,JR,G,6-2,180.0,"Fairfax, MO",Mound City (MO),Omaha
Lance Waddles,7,JR,G,6-3,180.0,"Shreveport, LA",Evangel Christian (AL),Omaha
Ja'Sean Glover,5,JR,G,6-4,190.0,"Madelia, MN",Madelia (MN),Omaha
Kamryn Thomas,22,JR,F,6-8,200.0,"Chicago, IL",Dream City Christian (AZ),Omaha
Isaac Ondekane,24,SR,F,6-8,275.0,"Kinshasa, Democratic Republic of the Congo",Sunrise Christian (KS),Omaha
Joshua Streit,23,JR,F,6-8,230.0,"Watkins, ND",Eden Valley-Watkins HS,Omaha
Grant Stubblefield,3,SO,G,6-1,180.0,"Overland Park, KS",Blue Valley Northwest (KS),Omaha
Khamani Cooper,25,SO,G,6-4,189.0,"Pine Bluff, AR",Watson Chapel (AR),Omaha
Pablo Soumare,27,FR,C,6-9,250.0,"Dakar, Senegal",Veritas Academy (CA),Omaha
Lincoln Palbicki,55,SO,C,6-9,235.0,"Maple Grove, MN",Maple Grove (MN),Omaha
Sebastian Perry,4,SO,G,6-1,170.0,"Oklahoma City, OK",Heritage Hall (OK),Omaha
Nathan Bittle,32,SR,C,7-0,215.0,"Central Point, OR",Crater HS,Oregon
Jackson Shelstad,3,SO,G,6-0,170.0,"West Linn, OR",West Linn (OR),Oregon
TJ Bamba,5,SR,G,6-5,208.0,"Bronx, NY",Abraham Lincoln HS,Oregon
Keeshawn Barthelemy,9,SR,G,6-2,163.0,"MontrÃ©al, Canada",Thornlea Secondary (ON),Oregon
Brandon Angel,21,SR,F,6-8,210.0,"San Diego, CA",Torrey Pines HS,Oregon
Jadrian Tracey,2,SR,F,6-5,190.0,"Fort Myers, FL",West Oaks Academy,Oregon
Kwame Evans Jr.,10,SO,F,6-9,200.0,"Baltimore, MD",Baltimore Poly (MD); Montverde Academy (FL),Oregon
Supreme Cook,7,SR,F,6-9,200.0,"East Orange, NJ",The Peddie School,Oregon
Ra'Heim Moss,0,SR,G,6-4,205.0,"Springfield, OH",Springfield (OH),Oregon
Mookie Cook,11,SO,F,6-7,200.0,"Portland, OR",Jefferson (OR); AZ Compass Prep (AZ),Oregon
Jamari Phillips,24,FR,G,6-3,185.0,"Modesto, CA",Modesto Christian (CA); Dream City Christian (AZ),Oregon
Jayson Williams-Johnson,14,SR,G,6-0,165.0,"Scotch Plains, NJ",The Peddie School (NJ),Oregon
Drew Carter,22,JR,G,6-3,200.0,"Portland, OR",Tigard (OR),Oregon
James Cooper,12,SR,F,6-7,210.0,"Mauldin, SC",Mauldin HS,Oregon
Luke Johnson,13,FR,F,6-7,210.0,,Central Catholic (OR); Huntington Prep (WV),Oregon
Oleksandr Kobzystyi,6,FR,F,6-7,190.0,"Poltava Oblast, Ukraine",KK Mega Basket (Serbia),Oregon
Trey Kaufman-Renn,4,JR,F,6-9,210.0,"Sellersburg, IN",Silver Creek HS,Purdue
Braden Smith,3,JR,G,6-0,180.0,"Westfield, IN",Westfield (IN),Purdue
Fletcher Loyer,2,JR,G,6-4,185.0,"Fort Wayne, IN",Homestead (IN),Purdue
C.J. Cox,0,FR,G,6-3,200.0,"Lexington, MA",Milton Academy (MA),Purdue
Myles Colvin,5,SO,G,6-5,200.0,"Indianapolis, IN",Heritage Christian (IN),Purdue
Camden Heide,23,SO,F,6-7,205.0,"Wayzata, MN",Wayzata (MN); Wasatch Academy (MN),Purdue
Caleb Furst,1,SR,F,6-10,215.0,"Fort Wayne, IN",Blackhawk Christian HS,Purdue
Gicarri Harris,24,FR,G,6-3,200.0,"Atlanta, GA",Grayson (GA),Purdue
Raleigh Burgess,34,FR,F,6-11,240.0,"Cincinnati, OH",Sycamore (OH),Purdue
Will Berg,44,SO,C,7-2,260.0,"Stockholm, Sweden",Riksbasketgymnasiet Lulea (Sweden),Purdue
Brian Waddell,11,JR,F,6-7,185.0,"Carmel, IN",Carmel HS,Purdue
Daniel Jacobsen,12,FR,C,7-4,230.0,"Chicago, IL",La Cueva (NM); Brewster Academy (NH),Purdue
Sam King,7,JR,F,6-8,225.0,"Columbus, IN",Columbus North (IN),Purdue
Jace Rayl,32,SO,G,5-10,170.0,"Kokomo, IN",Kokomo (IN),Purdue
Josh Furst,20,SO,F,6-6,200.0,"Fort Wayne, IN",Blackhawk Christian (IN),Purdue
Jack Lusk,9,SO,G,6-4,195.0,"Elkhorn, NE",Elkhorn North (NE),Purdue
Alvaro Folgueiras,7,SO,F,6-9,215.0,"Malaga, Spain",DME Academy (FL),Robert Morris
Amarion Dickerson,3,JR,F,6-7,185.0,"Cleveland, OH",Rhodes (OH),Robert Morris
Kam Woods,8,SR,G,6-2,170.0,"Bessemer, AL",Pinson Valley HS,Robert Morris
Josh Omojafo,4,JR,G,6-5,200.0,"Hamilton, Canada",St. Jean de BrÃ©beuf (ON); Lincoln Prep (ON),Robert Morris
D.J. Smith,11,JR,G,6-0,150.0,"North Little Rock, AR",North Little Rock HS,Robert Morris
Ryan Prather Jr.,2,SO,G,6-5,205.0,"Clarksburg, MD",Clarksburg (MD); Bishop Walsh (MD); Liberty Heights Athletic Institute (NC),Robert Morris
Ismael Plet,45,SR,F,6-7,220.0,"Amsterdam, Netherlands",Virginia Episcopal School,Robert Morris
Dilen Miller,10,FR,G,6-4,185.0,"Chandler, AZ",The Christ Academy (TX),Robert Morris
Antallah Sandlin'El,13,SO,F,6-8,205.0,"Lincoln, NE",Lincoln North Star (NE),Robert Morris
Chris Ford,23,SR,F,6-5,200.0,"Huntersville, NC",North Mecklenburg HS,Robert Morris
Maurio Hanson Jr.,31,FR,F,6-7,200.0,"Charlotte, NC",Chambers (NC),Robert Morris
Tanner O'Grady,0,JR,G,6-0,175.0,"Pittsburgh, PA",Upper St. Clair (PA),Robert Morris
Ray'Sean Taylor,3,SR,G,6-1,175.0,"Collinsville, IL",Collinsville HS,SIU-Edwardsville
Brian Taylor,11,JR,G,6-4,184.0,"St. Louis, MO",DeSmet Jesuit (MO),SIU-Edwardsville
Ring Malith,0,JR,F,6-9,180.0,"Twic, South Sudan",Florida Coastal Prep (FL),SIU-Edwardsville
Desmond Polk,2,SR,G,6-4,175.0,"Milwaukee, WI",Link Year Prep,SIU-Edwardsville
Myles Thompson,21,JR,F,6-7,240.0,"Hutchinson, KS",Hutchinson (KS),SIU-Edwardsville
Kyle Thomas,24,SO,F,6-10,240.0,"Bolingbrook, IL",Westchester St. Joseph (IL); Benet Academy (IL),SIU-Edwardsville
Arnas Sakenis,34,JR,F,6-11,240.0,"Tinley Park, IL",Andrew (IL),SIU-Edwardsville
Jordan Pickett,1,SO,G,6-3,190.0,"Belleville, IL",Belleville East (IL),SIU-Edwardsville
Declan Dillon,5,JR,G,6-0,200.0,"Peoria, IL",Peoria Notre Dame (IL),SIU-Edwardsville
Darrion Baker,4,FR,F,6-8,225.0,"Chicago, IL",Hillcrest (IL),SIU-Edwardsville
Cham Okey,23,FR,G,6-6,200.0,"Minneapolis, MN",Austin (MN); Phoenix Prep (AZ),SIU-Edwardsville
Jo Valrie,33,SR,F,6-5,180.0,"Houston, TX",Yates (TX),SIU-Edwardsville
Eddiean Tirado,40,SR,G,6-0,190.0,"Miami, FL",Calusa Prep (FL),SIU-Edwardsville
Jordan Hamilton,10,JR,G,6-6,225.0,"Memphis, TN",Tennessee Prep Academy (TN),SIU-Edwardsville
Raynard Horry,15,SO,G,5-11,170.0,"O'Fallon, MO",Fort Zumwalt West (MO),SIU-Edwardsville
Augustas Marciulionis,3,SR,G,6-4,185.0,"Vilnius, Lithuania",BC Perlas (Lithuania); Rytas Vilnius (Lithuania),Saint Mary's
Paulius Murauskas,23,SO,F,6-8,225.0,"Kaunas, Lithuania",Å½algiris Kaunas (Lithuania); BC NevÄÅ¾is (Lithuania); BC Lietkabelis (Lithuania),Saint Mary's
Mitchell Saxen,11,SR,C,6-10,230.0,"Seattle, WA",Ingraham HS,Saint Mary's
Luke Barrett,33,SR,G,6-6,190.0,"Piedmont, CA",Piedmont HS,Saint Mary's
Jordan Ross,2,SO,G,6-3,175.0,"Pleasant Grove, UT",Compas Prep (AZ),Saint Mary's
Mikey Lewis,0,FR,G,6-3,180.0,"Oakland, CA",Denver Prep (CO); Prolific Prep (CA),Saint Mary's
Harry Wessels,1,JR,C,7-1,255.0,"Boddington, Australia",Centre of Excellence (Australia),Saint Mary's
Ashton Hardaway,9,SO,F,6-8,210.0,"Carson, CA",Duncanville (TX); Sierra Canyon (CA),Saint Mary's
Andrew McKeever,45,SO,C,7-1,255.0,"Livermore, CA",Granada (CA),Saint Mary's
Joshua Dent,7,FR,G,6-3,190.0,"Wollongong, Australia",Centre of Excellence AKA Australian Institute of Sport,Saint Mary's
Kevin Gad,24,SO,F,6-6,195.0,"Livermore, CA",Granada (CA),Saint Mary's
Cade Bennett,22,SO,G,6-0,170.0,"Moraga, CA",Campolindo (CA),Saint Mary's
RJ Luis,12,JR,G,6-7,196.0,"Miami, FL",Columbus (FL); Mt. Zion Prep (MD),St. John's (NY)
Zuby Ejiofor,24,JR,F,6-9,240.0,"Garland, TX",Garland (TX),St. John's (NY)
Kadary Richmond,1,SR,G,6-5,180.0,"Brooklyn, NY",Brewster Academy,St. John's (NY)
Aaron Scott,0,JR,G,6-7,190.0,"Spring, TX",Legacy the School of Sport Sciences,St. John's (NY)
Simeon Wilcher,7,SO,G,6-4,180.0,"Plainfield, NJ",Roselle Catholic (NJ),St. John's (NY)
Deivon Smith,5,SR,G,6-1,165.0,"Loganville, GA",Grayson HS,St. John's (NY)
Vincent Iwuchukwu,8,JR,F,7-1,235.0,"San Antonio, TX",Cole (TX); La Lumiere (IN); Southern California Academy (CA),St. John's (NY)
Sadiku Ibine Ayo,2,JR,F,6-7,210.0,"Asabi-Kumasi, Ghana",Our Saviour Lutheran (NY),St. John's (NY)
Brady Dunlap,44,SO,F,6-7,190.0,"Newhall, CA",Harvard-Westlake (CA),St. John's (NY)
RubÃ©n Prey,17,FR,F,6-10,230.0,"Lisbon, Portugal",Joventut Badalona (Spain),St. John's (NY)
Jaiden Glover,11,FR,G,6-5,205.0,"Brooklyn, NY",Roselle Catholic (NJ); The Patrick School (NJ),St. John's (NY)
Lefteris Liotopoulos,31,FR,G,6-5,200.0,"Thessaloniki, Greece",DEKA Academy (Greece),St. John's (NY)
Khaman Maker,14,FR,C,7-1,220.0,"Juba, South Sudan",SFBA Trinity Prep (NV),St. John's (NY)
Chaz Lanier,2,SR,G,6-4,175.0,"Nashville, TN",The Ensworth School,Tennessee
Zakai Zeigler,5,SR,G,5-9,160.0,"Long Island, NY",Our Saviour Lutheran School,Tennessee
Jordan Gainey,11,SR,G,6-4,175.0,"Tucson, AZ",South Kent HS,Tennessee
Igor Milicic Jr.,7,SR,G,6-10,224.0,"Rovinj, Croatia","ProGenius Ulm, Orange Academy Ratiopharm",Tennessee
Felix Okpara,34,JR,C,6-11,220.0,"Lagos, Nigeria",Hamilton Heights Christian (TN); Link Academy (MO),Tennessee
Jahmai Mashack,15,SR,G,6-4,192.0,"Fontana, CA",Etiwanda HS,Tennessee
Cade Phillips,12,SO,F,6-9,212.0,"Jacksonville, AL",Jacksonville (AL); Link Academy (MO),Tennessee
Darlinstone Dubar,8,SR,G,6-6,207.0,"Charlotte, NC",Scotland Campus (PA),Tennessee
Cameron Carr,43,SO,G,6-5,175.0,"Eden Prairie, MN",Manhattan (KS); Link Academy (MO),Tennessee
J.P. Estrella,13,SO,F,6-11,241.0,"Scarborough, ME",South Portland (ME); Brewster Academy (NH),Tennessee
Grant Hurst,23,JR,G,6-2,180.0,"Cleveland, TN",Cleveland HS,Tennessee
Bishop Boswell,3,FR,G,6-4,203.0,"Charlotte, NC",Myers Park (NC),Tennessee
Campbell Duncan,21,FR,G,6-6,200.0,"Austin, TX",Anderson (TX),Tennessee
Gavin Paull,24,FR,G,5-11,158.0,"Austin, TX","Westlake High School (Austin, TX)",Tennessee
Wade Taylor IV,4,SR,G,6-0,186.0,"Lancaster, TX",Lancaster HS,Texas A&M
Zhuric Phelps,1,SR,G,6-3,175.0,"Duncanville, TX",Duncanville HS,Texas A&M
Pharrel Payne,21,JR,F,6-9,255.0,"Cottage Grove, MN",Park (MN),Texas A&M
Henry Coleman III,15,SR,F,6-7,229.0,"Richmond, VA",Trinity Episcopal (VA),Texas A&M
Manny Obaseki,35,SR,G,6-4,189.0,"Allen, TX",John Paul III HS,Texas A&M
Andersson Garcia,11,SR,G,6-7,205.0,"Moca, Dominican Republic",Hamilton Heights (Tenn.) HS,Texas A&M
Solomon Washington,9,JR,F,6-7,225.0,"New Orleans, LA",Carver (LA),Texas A&M
C.J. Wilcher,10,SR,G,6-5,195.0,"Plainfield, NJ",Roselle Catholic HS,Texas A&M
Hayden Hefner,2,SR,G,6-6,182.0,"Nederland, TX",Nederland HS,Texas A&M
Jace Carter,0,SR,G,6-5,215.0,"Titusville, FL",Astronaut HS,Texas A&M
Chris McDermott,14,FR,F,6-7,225.0,"Houston, TX","Booker T. Washington (Houston, TX)",Texas A&M
Jaelyn Lee,24,SO,G,6-6,195.0,"Paris, TX",Paris (TX),Texas A&M
Rob Dockery,3,FR,G,6-6,205.0,"Washington, DC",Jackson-Reed (DC),Texas A&M
JT Toppin,15,SO,F,6-9,210.0,"Dallas, TX",Oak Cliff Faith Family Academy (TX),Texas Tech
Darrion Williams,5,JR,F,6-6,210.0,"Las Vegas, NV",Bishop Gorman (NV),Texas Tech
Chance McMillian,0,SR,G,6-2,170.0,"Vallejo, CA",Golden State Prep,Texas Tech
Christian Anderson,4,FR,G,6-2,165.0,"Atlanta, GA",The Lovett School (GA); Oak Hill Academy (VA),Texas Tech
Elijah Hawkins,3,SR,G,5-11,160.0,"Washington, DC",Dematha Catholic HS,Texas Tech
Kevin Overton,1,SO,G,6-5,180.0,"Oklahoma City, OK",Midwest City (OK); Norman North (OK); Sunrise Christian (KS),Texas Tech
Kerwin Walton,24,SR,G,6-5,205.0,"Hopkins, MN",Hopkins HS,Texas Tech
Federiko Federiko,33,SR,C,6-11,220.0,"Helsinki, Finland",First Love Christian (PA),Texas Tech
Devan Cambridge,35,SR,G,6-6,215.0,"Nashville, TN",Hillcrest Prep,Texas Tech
Eemeli Yalaho,23,SO,F,6-8,240.0,"JyvÃ¤skylÃ¤, Finland",Western Reserve Academy (OH),Texas Tech
Jack Francis,10,JR,G,6-3,185.0,"Austin, TX",Austin Anderson (TX),Texas Tech
Leon Horner,6,FR,F,6-4,215.0,"Dallas, TX",Frisco Memorial (TX); Dynamic Prep (TX),Texas Tech
Corbin Green,22,JR,F,6-5,230.0,"Midlothian, TX",Midlothian (TX); USAFA Prep School,Texas Tech
Tayton Conerway,12,SR,G,6-3,186.0,"Burleson, TX",Burleson Centennial (TX),Troy
Myles Rigsby,4,SO,F,6-5,190.0,"Irving, TX",Irving MacArthur (TX); O.D. Wyatt (TX),Troy
Thomas Dowd,1,SO,F,6-8,225.0,"Dothan, AL",Dothan (AL),Troy
Jackson Fields,15,JR,F,6-8,210.0,"Missouri City, TX",Elkins (TX),Troy
Marcus Rigsby Jr.,2,JR,G,6-5,185.0,"Irving, TX",Irving MacArthur (TX); O.D. Wyatt (TX),Troy
Cooper Campbell,3,FR,G,6-2,185.0,"Puyallup, WA",Elite Prep (WA); Phhoenix Prep (AZ),Troy
Theo Seng,33,SR,F,6-9,220.0,"Davis, CA",Davis (CA),Troy
Victor Valdes,11,SO,F,6-7,258.0,"Monterrey, Mexico",Zentro Basket (Spain),Troy
Jerrell Bellamy,10,JR,F,6-9,210.0,"Phenix City, AL",Phenix City Central (AL),Troy
Randarius Jones,24,SR,C,6-7,235.0,"Monroe, LA",Carroll (LA),Troy
Kerrington Kiel,0,FR,F,6-6,185.0,"Birmingham, AL",Ramsay (AL),Troy
Braydon Whitaker,21,SR,G,6-0,185.0,"Slocomb, AL",Slocomb (AL),Troy
Jackson Porch,20,FR,G,6-0,175.0,"Guntersville, AL",Guntersville (AL),Troy
Kameryn Mitchell,14,JR,G,6-4,185.0,"Dothan, AL",Houston Academy (AL),Troy
Aniwaniwa Tait-Jones,12,SR,F,6-6,200.0,"Wellington, New Zealand",St. Patrick's College (New Zealand),UC-San Diego
