Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Gabriel McKay,21,SR,G,6-2,175.0,"Lynchburg, VA",Liberty Christian (VA),Liberty
Kai Yu,45,FR,F,7-0,240.0,"Zhuhai, China",Link Year Prep (MO),Liberty
Bryson Spell,5,JR,F,6-9,220.0,"Virginia Beach, VA",Cape Henry Collegiate School,Liberty
JC Shirer Jr.,10,SO,G,6-3,195.0,"Arlington, TX",Grace Prep (TX),Liberty
Will Gibson,15,FR,F,6-7,225.0,"Louisville, KY",DeSales (KY),Liberty
Jacob Ognacevic,41,SR,F,6-8,210.0,"Sheboygan, WI",Sheboygan Area Lutheran HS,Lipscomb
Will Pruitt,2,SR,G,6-2,175.0,"Mt. Juliet, TN",Mt. Juliet HS,Lipscomb
Joe Anderson,22,SR,G,6-0,170.0,"Maryville, TN",Maryville HS,Lipscomb
Gyasi Powell,10,SR,G,6-2,185.0,"Jacksonville, FL",Bishop Snyder (FL),Lipscomb
Charlie Williams,6,JR,F,6-10,220.0,"Carmel, IN",Carmel (IN),Lipscomb
Dylan Faulkner,15,SO,F,6-9,215.0,"Calhoun, GA",Calhoun (GA),Lipscomb
Miles White,5,JR,G,6-3,185.0,"Kansas City, MO",Rockhurst (MO),Lipscomb
Grant Asman,35,JR,C,6-10,210.0,"Kimberly, WI",Kimberly HS,Lipscomb
Kellan Boylan,23,JR,G,6-6,190.0,"Overland Park, KS",Bishop Miege (KS),Lipscomb
Logan Suber,11,SO,G,6-0,170.0,"Fredericksburg, VA",Mt. Zion Prep (MD),Lipscomb
Ross Candelino,30,JR,G,6-5,185.0,"Jacksonville, FL",Ponte Vedra (FL),Lipscomb
Rylan Houck,1,SO,F,6-5,192.0,"Oxford, AL",Oxford (AL),Lipscomb
Jack Ingold,9,SR,G,6-3,190.0,"Charleston, WV",George Washington (WV),Lipscomb
Luke Carter,12,SO,G,6-1,175.0,"Knoxville, TN",Christian Academy of Knoxville (TN),Lipscomb
Zach Lamey,33,FR,G,6-3,175.0,"Birmingham, AL",Briarwood Christian (AL),Lipscomb
Terrence Edwards,5,SR,G,6-6,190.0,"Decatur, GA",Tucker HS,Louisville
Chucky Hepburn,24,SR,G,6-2,211.0,"Omaha, NE",Bellevue West (NE),Louisville
J'Vonne Hadley,1,SR,G,6-6,200.0,"St. Paul, MN",Cretin-Derham Hall HS,Louisville
Reyne Smith,6,SR,G,6-2,180.0,"Ulverstone, Australia",Centre of Excellence (Australia),Louisville
James Scott,0,SO,F,6-11,210.0,"Fayetteville, NC",E.E. Smith (NC),Louisville
Noah Waterman,93,SR,F,6-11,210.0,"Savannah, NY",Finger Lakes Christian (NY),Louisville
Aboubacar Traore,25,SR,G,6-5,190.0,"Abidjan, CÃ´te d'Ivoire",Labase Academy,Louisville
Khani Rooths,9,FR,F,6-8,205.0,"Washington, DC",Georgetown Prep (MD); IMG Academy (FL),Louisville
Kasean Pryor,7,SR,G,6-9,210.0,"Chicago, IL",Link Year Prep (MO); Pioneer (MI),Louisville
Frank Anselem,13,SR,C,6-10,210.0,"Lagos, Nigeria",Prolific Prep,Louisville
Koren Johnson,3,JR,G,6-2,175.0,"Seattle, WA",Garfield (WA); Wasatch Academy (UT),Louisville
Patrick Antonelli,12,SR,G,5-11,170.0,"Mount Pleasant, SC",Bishop England (SC),Louisville
Cole Sherman,4,JR,G,5-11,190.0,"Louisville, KY",St. Xavier (KY),Louisville
Aidan McCool,33,SR,G,6-3,155.0,"Charleston, SC",Bishop England HS,Louisville
Spencer Legg,55,JR,F,6-6,195.0,"Washington, DC",Woodberry Forest (VA); IMG Academy (FL),Louisville
Kameron Jones,1,SR,G,6-4,185.0,"Cordova, TN",Evangelical Christian School,Marquette
David Joplin,23,SR,F,6-7,215.0,"Brookfield, WI",Brookfield Central HS,Marquette
Stevie Mitchell,4,SR,G,6-2,190.0,"Reading, PA",Wilson HS,Marquette
Chase Ross,2,JR,G,6-4,195.0,"Dallas, TX",Plano West (TX); Cushing Academy (MA),Marquette
Ben Gold,12,JR,F,6-11,220.0,"Wellington, New Zealand",NBA Global Academy,Marquette
Royce Parham,13,FR,F,6-8,230.0,"Pittsburgh, PA",North Hills (PA); Western Reserve Academy (OH),Marquette
Zaide Lowery,7,SO,F,6-5,200.0,"Springfield, MO",Kickapoo (MO); La Lumiere School (IN),Marquette
Damarius Owens,10,FR,F,6-7,200.0,"Rochester, NY",Western Reserve Academy (OH),Marquette
Tre Norman,5,SO,G,6-4,205.0,"Boston, MA",Worcester Academy (MA),Marquette
Caedin Hamilton,35,FR,F,6-9,240.0,"Santa Maria, CA",St. Joseph (CA),Marquette
Casey O'Malley,40,SO,G,6-3,185.0,"Omaha, NE",Creighton Prep,Marquette
Jack Anderson,25,JR,G,6-4,200.0,"Davie, FL",Western (FL),Marquette
Cameron Brown,55,SR,G,6-1,190.0,"Plano, TX",John Paul II HS,Marquette
Jake Ciardo,54,JR,G,6-2,175.0,"Germantown, WI",Germantown (WI),Marquette
Jonah Lucas,41,JR,G,6-1,170.0,"West Lafayette, IN",W.H. Harrison (IN),Marquette
Derik Queen,25,FR,C,6-10,246.0,"Baltimore, MD",St. Frances Academy (MD); Montverde Academy (FL),Maryland
Ja'Kobi Gillespie,0,JR,G,6-0,175.0,"Greeneville, TN",Greeneville (TN),Maryland
Rodney Rice,1,SO,G,6-4,195.0,"Clinton, MD",DeMatha Catholic (MD),Maryland
Julian Reese,10,SR,F,6-9,230.0,"Baltimore, MD",St. Frances Academy,Maryland
Selton Miguel,9,JR,G,6-4,210.0,"Luanda, Angola",West Oaks Academy,Maryland
Tafara Gapare,6,JR,F,6-9,205.0,"Wellington, New Zealand",South Kent School (CT),Maryland
DeShawn Harris-Smith,5,SO,G,6-5,215.0,"Woodbridge, VA",Paul VI (VA),Maryland
Jordan Geronimo,22,SR,F,6-6,220.0,"Newark, NJ",St. Paul's HS,Maryland
Jayhlon Young,8,SR,G,6-2,175.0,"Dallas, TX",Garland (TX),Maryland
Malachi Palmer,7,FR,G,6-6,212.0,"Harrisburg, PA",Central Dauphin (PA); Hillcrest Prep (AZ); Mt. Zion Prep (MD),Maryland
Braden Pierce,4,SO,C,7-0,230.0,"Woodstock, GA",River Ridge (GA); IMG Academy (FL),Maryland
Chance Stephens,13,SO,G,6-3,185.0,"Riverside, CA",Riverside Poly (CA),Maryland
Ben Murphy,40,SR,G,6-1,193.0,"Reisterstown, MD",Franklin (MD),Maryland
Lukas Sotell,30,SO,G,6-3,170.0,"Stamford, CT",Stamford (CT),Maryland
Javohn Garcia,6,SR,G,6-2,183.0,"Columbus, OH",Pickerington Central (OH); Brewster Academy (NH),McNeese State
Sincere Parker,21,JR,G,6-3,195.0,"Rockford, IL",Rockford East (IL),McNeese State
Christian Shumate,24,SR,G,6-6,185.0,"Chicago Heights, IL",Bloom HS,McNeese State
DJ Richards,2,JR,G,6-5,180.0,"Houston, TX",Cypress Creek (TX),McNeese State
Quadir Copeland,11,JR,G,6-6,203.0,"Philadelphia, PA",Gettysburg (PA); Life Center Academy (NJ); IMG Academy (FL),McNeese State
Joe Charles,5,SR,F,6-7,195.0,"Carencro, LA",Carencro HS,McNeese State
Brandon Murray,23,SR,G,6-5,214.0,"Baltimore, MD",IMG Academy,McNeese State
Bryant Selebangue,9,JR,F,6-9,215.0,"Lasalle, Canada",TRC Prep (ON),McNeese State
T'Johnn Brown,0,SO,G,5-11,164.0,"Dallas, TX",Kimball (TX),McNeese State
Alyn Breed,7,SR,G,6-3,180.0,"Powder Springs, GA",McEachern HS,McNeese State
Omar Cooper,1,SR,G,6-0,179.0,"Atlanta, GA",The Walker School (GA),McNeese State
Lamont Evans IV,33,JR,G,6-0,155.0,"Hollywood, FL",Blanche Ely HS,McNeese State
Erik Villarreal,14,FR,G,6-3,190.0,"Houston, TX",Clear Lake (TX),McNeese State
PJ Haggerty,4,SO,G,6-3,192.0,"Crosby, TX",Crosby (TX),Memphis
Dain Dainja,42,SR,F,6-9,270.0,"Brooklyn Park, MN",Park Center HS,Memphis
Tyrese Hunter,11,SR,G,6-0,178.0,"Racine, WI",St. Catherines HS,Memphis
Colby Rogers,3,SR,G,6-5,190.0,"Covington, GA",Roselle Catholic HS,Memphis
Nick Jourdain,2,SR,F,6-8,205.0,"Clifton, NJ",Covenant College Prep,Memphis
Moussa Cisse,32,SR,C,6-10,220.0,"Conakry, Guinea",Lausanne Collegiate School,Memphis
PJ Carter,7,SR,G,6-5,175.0,"Atlanta, GA",Langston Hughes HS,Memphis
Baraka Okojie,6,SO,G,6-3,175.0,"Brampton, Canada",DME Academy (FL),Memphis
Dante Harris,5,SR,G,6-0,170.0,"Washington, DC",Lakeway Christian Academy,Memphis
Demarien Yates,0,SO,F,6-7,210.0,"Somerville, TN",Fayette-Ware (TN),Memphis
Jared Harris,1,FR,G,6-2,160.0,"Silsbee, TX",Silsbee (TX),Memphis
Vladislav Goldin,50,SR,F,7-1,240.0,"Nalchick, Russia",Putnam Science Academy,Michigan
Danny Wolf,1,JR,F,7-0,255.0,"Glencoe, IL",Northfield Mount Hermon (MA),Michigan
Tre Donaldson,3,JR,G,6-2,190.0,"Tallahassee, FL",FSU High School (FL),Michigan
Roddy Gayle Jr.,11,JR,G,6-4,205.0,"Niagara Falls, UT",Lewiston-Porter (NY); Wasatch Academy (UT),Michigan
Nimari Burnett,4,SR,G,6-4,195.0,"Chicago, IL",Prolific Prep,Michigan
Will Tschetter,42,SR,F,6-8,230.0,"Stewartville, MN",Stewartville HS,Michigan
L.J. Cason,2,FR,G,6-2,190.0,"Lakeland, FL",Victory Christian (FL),Michigan
Rubin Jones,15,SR,G,6-5,184.0,"Houston, TX",Yates HS,Michigan
Sam Walters,24,SO,F,6-10,198.0,"The Villages, FL",Villages Charter School (FL),Michigan
Justin Pippen,10,FR,G,6-3,180.0,"Chatsworth, CA",Sierra Canyon (CA),Michigan
Phat Phat Brooks,8,FR,G,6-2,190.0,"Grand Rapids, MI",Grand Rapids Catholic Central (MI),Michigan
Harrison Hochberg,13,SO,F,6-7,225.0,"New York, NY",Fessenden School (MA); Suffield Academy (CT); Cushing Academy (MA),Michigan
Jace Howard,7,SR,G,6-7,210.0,"Miami, FL",University School,Michigan
Ian Burns,14,SR,G,6-6,200.0,"Winnetka, IL",New Trier HS,Michigan
Howard Eisley Jr.,5,FR,G,6-0,195.0,"New York, NY",Archbishop Stepinac (NY),Michigan
Charlie May,12,JR,G,6-5,190.0,"Boca Raton, FL",Saint Andrew's School (FL),Michigan
Jaden Akins,3,SR,G,6-4,180.0,"Farmington, MI",Sunrise Christian Academy,Michigan State
Jase Richardson,11,FR,G,6-3,185.0,"Denver, CO",Bishop Gorman (NV); Columbus (FL),Michigan State
Tre Holloman,5,JR,G,6-2,180.0,"Minneapolis, MN",Cretin-Derham Hall (MN),Michigan State
Coen Carr,55,SO,F,6-6,220.0,"East Point, GA",Dutchtown (GA); Legacy Early College (SC),Michigan State
Jaxon Kohler,0,JR,F,6-9,240.0,"American Fork, UT",American Fork (UT); Southern California Academy (CA),Michigan State
Frankie Fidler,8,SR,F,6-7,200.0,"Bellevue, NE",Bellevue West HS,Michigan State
Jeremy Fears Jr.,1,SO,G,6-2,190.0,"Joliet, IL",Joliet West (IL),Michigan State
Carson Cooper,15,JR,C,6-11,230.0,"Jackson, MI",Jackson Northwest (MI); Ypsilanti Prep (MI); IMG Academy (FL),Michigan State
Xavier Booker,34,SO,F,6-11,220.0,"Indianapolis, IN",Cathedral (IN),Michigan State
Szymon Zapala,10,SR,C,6-11,240.0,"Zaborze, Poland",PZKosz WÅadysÅawowo (Poland),Michigan State
Kur Teng,2,FR,G,6-4,190.0,"Manchester, NH",Bradford Christian (MA),Michigan State
Gehrig Normand,7,SO,G,6-5,190.0,"North Richland Hills, TX",Birdville (TX),Michigan State
Nick Sanders,20,JR,G,5-9,170.0,"Franklin, MI",Detroit Country Day (MI),Michigan State
Josh Hubbard,12,SO,G,5-10,185.0,"Madison, MS",Madison-Ridgeland Academy (MS),Mississippi State
KeShawn Murphy,3,JR,F,6-10,245.0,"Birmingham, AL",Ramsay HS,Mississippi State
Claudell Harris Jr.,0,SR,G,6-3,190.0,"Hahnville, LA",Hahnville HS,Mississippi State
Riley Kugel,2,JR,G,6-5,207.0,"Orlando, FL",Dr. Phillips (FL),Mississippi State
RJ Melendez,22,SR,G,6-7,205.0,"Arecibo, Puerto Rico",Central Pointe Christian HS,Mississippi State
Cameron Matthews,4,SR,F,6-7,220.0,"Olive Branch, MS",Olive Branch HS,Mississippi State
Michael Nwoko,23,SO,C,6-10,245.0,"Toronto, Canada",St. Thomas More (CT); The Burlington School (NC); Prolific Prep (CA),Mississippi State
Shawn Jones Jr.,5,JR,G,6-5,200.0,"Houston, TX",Shadow Creek (TX),Mississippi State
Kanye Clary,1,JR,G,5-11,192.0,"Virginia Beach, VA",Princess Anne (VA); Massanutten Military (VA),Mississippi State
Martavious Russell,21,SO,G,6-2,185.0,"Coker, AL",Sipsey Valley (AL),Mississippi State
Gai Chol,34,SO,C,6-11,245.0,"Juba, South Sudan",Greenforest Mccalep Christian (GA),Mississippi State
Dellquan Warren,6,FR,G,6-2,180.0,"Erie, PA",Keystone Athletic Academy (PA); Cathedral Prep (PA); Our Savior Lutheran (NY),Mississippi State
Jeremy Foumena,7,SO,C,6-11,235.0,"MontrÃ©al, Canada",Orangeville Prep (ON),Mississippi State
Harrison Alexander,8,FR,G,6-4,190.0,"Madison, MS",Madison-Ridgeland Academy (MS),Mississippi State
Trey Jackson III,40,SR,G,6-2,200.0,"Starkville, MS",Starkville (MS),Mississippi State
Mark Mitchell,25,JR,F,6-8,220.0,"Kansas City, KS",Sunrise Christian (KS),Missouri
Tamar Bates,2,SR,G,6-5,193.0,"Kansas City, KS",IMG Academy,Missouri
Caleb Grill,31,SR,G,6-3,195.0,"Maize, KS",Maize HS (KS),Missouri
Anthony Robinson II,0,SO,G,6-2,175.0,"Tallahassee, FL",Florida State University School (FL),Missouri
Tony Perkins,12,SR,G,6-4,210.0,"Indianapolis, IN",Lawrence North HS,Missouri
Trent Pierce,11,SO,F,6-10,210.0,"Tulsa, OK",Union (OK); AZ Compass Prep (AZ),Missouri
Marques Warrick,1,SR,G,6-2,170.0,"Lexington, KY",Henry Clay HS,Missouri
Jacob Crews,35,SR,G,6-7,210.0,"Hilliard, FL",Hilliard (FL),Missouri
Josh Gray,33,SR,C,6-11,255.0,"Brooklyn, NY",Putnam Science Academy,Missouri
Aidan Shaw,23,JR,F,6-8,195.0,"Overland Park, KS",Blue Valley (KS),Missouri
Marcus Allen,4,FR,G,6-7,220.0,"Miami, FL",Norland (FL),Missouri
T.O. Barrett,5,FR,G,6-4,200.0,"Oklahoma City, OK",Edmond North (OK); Link Academy (MO),Missouri
Annor Boateng,6,FR,G,6-6,215.0,"Little Rock, AR",Little Rock Central (AR),Missouri
Peyton Marshall,21,FR,C,7-0,300.0,"Atlanta, GA",Kell (GA); Overtime Elite (GA),Missouri
Jeremy Sanchez,10,SR,G,6-0,180.0,"North Ridgeville, OH",North Ridgeville (OH),Missouri
JV Brown,17,FR,G,6-5,195.0,"Los Angeles, CA",Rolling Hills Prep (CA),Missouri
Money Williams,0,SO,G,6-4,200.0,"Oakland, CA",Oakland (CA),Montana
Joe Pridgen,11,SR,F,6-5,210.0,"Winchendon, MA",Governor's Academy,Montana
Kai Johnson,1,JR,G,6-4,190.0,"Olympia, WA",Olympia (WA),Montana
Malik Moore,3,SO,G,6-5,185.0,"Ventura, CA",Heritage Christian (CA),Montana
Brandon Whitney,12,SR,G,6-1,178.0,"Mission Hills, CA",Bishop Alemany HS,Montana
Te'Jon Sawyer,32,SR,F,6-8,252.0,"Richmond, CA",Salesian Prep,Montana
Austin Patterson,20,JR,G,6-3,180.0,"Sonora, CA",Sonora HS,Montana
Jensen Bradtke,50,FR,F,6-10,220.0,"Sandringham, Australia",Lake Ginninderra College (Australia),Montana
Zack Davidson,14,FR,F,6-8,224.0,"Santa Ana, CA",Mater Dei (CA),Montana
Amari Jedkins,5,SO,F,6-7,195.0,"Racine, WI",Case (WI),Montana
Jeremiah Dargan,8,JR,G,6-4,190.0,"Concord, CA",Clayton Valley Charter (CA),Montana
Jalen Foy,15,JR,F,6-7,215.0,"Las Vegas, NV",Canyon Springs (NV),Montana
Adam Shoff,22,SR,G,6-1,167.0,"Redding, CA",Enterprise (CA),Montana
Dola Adebayo,4,JR,F,6-8,190.0,"Ocala, FL",Canterbury School,Mount St. Mary's
Dallas Hobbs,8,SO,G,6-1,160.0,"Dallas, TX",Dynamic Prep (TX),Mount St. Mary's
Jedy Cordilia,14,SR,F,6-9,210.0,"Tilburg, Netherlands",West Nottingham Academy,Mount St. Mary's
Carmelo Pacheco,1,SO,G,6-5,190.0,"Harrisonberg, VA",Spotswood (VA),Mount St. Mary's
Xavier Lipscomb,45,SR,G,6-2,195.0,"Washington, DC",St. Stephen's & St. Agnes School,Mount St. Mary's
Terrell Ard Jr.,13,SR,F,6-7,210.0,"Acworth, GA",Putnam Science Academy,Mount St. Mary's
Arlandus Keyes,2,JR,G,6-2,173.0,"Florissant, MO",Gateway City Elite (MO),Mount St. Mary's
Javon Ervin,23,JR,G,6-3,200.0,"Tacoma, WA",Lakes (WA),Mount St. Mary's
Abdou Khadre KÃ©bÃ©,9,FR,F,6-7,170.0,"Dakar, Senegal",SEED Academy (Senegal),Mount St. Mary's
Patrick Haigh,10,SO,G,6-4,190.0,"Altoona, PA",Bishop Guilfoyle (PA),Mount St. Mary's
Malcolm Dread,5,JR,G,6-4,210.0,"Detroit, MI",Gonzaga Prep,Mount St. Mary's
Trey Wilson,12,FR,G,6-3,188.0,"Miramar, FL",Miami Country Day (FL),Mount St. Mary's
Jonathan Ogunfuye,3,FR,F,6-7,190.0,"Houston, TX",Spire Academy (OH),Mount St. Mary's
Jaxon Hartman,6,FR,G,6-3,195.0,"Staunton, VA",Miller School of Albemarle (VA),Mount St. Mary's
Donovan Dent,2,JR,G,6-2,170.0,"Riverside, CA",Centennial (CA),New Mexico
Nelly Junior Joseph,23,SR,F,6-9,230.0,"Benin City, Benin",NBA Academy Africa,New Mexico
Tru Washington,3,SO,G,6-4,195.0,"Phoenix, AZ",Mountain Pointe (AZ); AZ Compass Prep (AZ),New Mexico
Mustapha Amzil,22,SR,F,6-10,220.0,"Helsinki, Finland",HBA-MÃ¤rsky (Finland),New Mexico
C.J. Noland,0,SR,G,6-2,229.0,"Waxahachie, TX",Waxahachie HS,New Mexico
Filip Borvicanin,8,JR,F,6-9,185.0,"Belgrade, Serbia",KK Beko (Serbia),New Mexico
Jovan Milicevic,24,FR,F,6-10,240.0,"Toronto, Canada",Dream City Christian (AZ),New Mexico
Braden Appelhans,1,SO,G,6-7,185.0,"Blue Springs, MO",Blue Springs (MO); Western Reserve (OH),New Mexico
Kayde Dotson,4,FR,G,6-2,190.0,"Beaumont United, TX",Beaumont United (TX),New Mexico
Atiki Ally Atiki,6,SR,F,6-9,213.0,"Mwanza, Tanzania",London Basketball Academy,New Mexico
Ibrahima Sacko,7,SO,F,6-6,225.0,"Conarky, Guinea",J. Addison School (Canada),New Mexico
Quinton Webb,11,SO,G,6-6,205.0,"San Bernardino, CA",Etiwanda (CA),New Mexico
Brian Moore Jr.,5,JR,G,6-3,180.0,"Harlem, NY",Kingston (NY),Norfolk State
Christian Ings,0,SR,G,6-2,176.0,"Philadelphia, PA",Neumann Goretti HS,Norfolk State
Jalen Myers,9,SR,F,6-7,190.0,"Madison, AL",Bob Jones HS,Norfolk State
Kuluel Mading,7,SR,F,6-9,202.0,"High Point, NC",The Burlington School,Norfolk State
Jaylani Darden,11,SR,G,6-5,185.0,"Norfolk, VA",Norview (VA),Norfolk State
Terrance Jones,2,SR,G,6-3,165.0,"Trenton, NJ",Trenton Catholic (NJ); The Patrick School (NJ),Norfolk State
Chris Fields Jr.,24,SO,F,6-7,240.0,"Petersburg, VA",Petersburg (VA),Norfolk State
Sin'Cere McMahon,13,SR,G,6-1,167.0,"Indianapolis, IN",Crispus Attucks HS,Norfolk State
Tyrel Bladen,8,SR,F,6-10,230.0,"Coatesville, PA",Coatesville HS,Norfolk State
Dramane Camara,35,SO,G,6-5,205.0,"Paris, France",NBA Academy Africa (Senegal),Norfolk State
Rodney Baines,6,FR,F,6-8,215.0,"Norfolk, VA",Lake Taylor (VA),Norfolk State
Jordan Leaks,20,SO,G,6-3,170.0,"Hampton, VA",Phoebus (VA),Norfolk State
Jeremiah Fears,0,FR,G,6-4,182.0,"Joliet, IL",AZ Compass Prep (AZ),Oklahoma
Jalon Moore,14,SR,F,6-6,211.0,"Gardendale, AL",Gardendale HS,Oklahoma
Duke Miles,15,SR,G,6-2,175.0,"Montgomery, AL",Robert E. Lee HS,Oklahoma
Kobe Elvis,1,SR,G,6-2,170.0,"Brampton, Canada",Bill Crothers Prep,Oklahoma
Brycen Goodine,2,SR,G,6-4,185.0,"New Bedford, MA",St. Andrews School,Oklahoma
Sam Godwin,10,SR,F,6-9,210.0,"Moore, OK",Southmoore HS,Oklahoma
Glenn Taylor Jr.,35,SR,F,6-6,200.0,"Las Vegas, NV",AZ Compass Prep (AZ),Oklahoma
Dayton Forsythe,7,FR,G,6-2,187.0,"Dale, OK",Dale (OK),Oklahoma
Mohamed Wague,5,SR,F,6-10,225.0,"Bronx, NY",Frederick Douglass (NY); Scotland Campus (PA),Oklahoma
Luke Northweather,45,SO,C,6-11,232.0,"Jefferson City, MO",Blair Oaks (MO),Oklahoma
Jacolb Cole,24,FR,F,6-7,211.0,"Ada, OK",Ada (OK); The Skill Factory (GA),Oklahoma
Jake Moser,30,SR,G,6-3,187.0,"Norman, OK",Loyola Academy,Oklahoma
Reid Lovelace,55,JR,G,5-11,135.0,"Oklahoma City, OK",Crossings Christian (OK),Oklahoma
Sean Pedulla,3,SR,G,6-1,190.0,"Edmond, OK",Edmond Memorial HS,Ole Miss
Jaemyn Brakefield,4,SR,F,6-8,216.0,"Jackson, MS",Huntington Prep School,Ole Miss
Malik Dia,0,JR,F,6-9,240.0,"Murfreesboro, TN",Ensworth (TN),Ole Miss
Jaylen Murray,5,SR,G,5-11,175.0,"Putnam, CT",Putnam Science Academy,Ole Miss
Dre Davis,14,SR,G,6-5,220.0,"Indianapolis, IN",Lawrence Central HS,Ole Miss
Matthew Murrell,11,SR,G,6-4,200.0,"Memphis, TN",IMG Academy,Ole Miss
Davon Barnes,7,SR,F,6-5,215.0,"Memphis, TN",Collierville HS,Ole Miss
Mikeal Brown-Jones,1,SR,F,6-8,210.0,"Philadelphia, PA",IMG Academy,Ole Miss
Eduardo Klafke,8,FR,G,6-5,195.0,"Franca SP, Brazil",NBA Academy Latin America,Ole Miss
John Bol,10,FR,F,7-2,210.0,"Boma, South Sudan",Overtime Elite (GA),Ole Miss
