Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team
2.0,Solomon Ball,G,35,35,31.7,4.7,10.8,0.439,2.8,6.8,0.414,1.9,4.0,0.482,0.57,2.1,2.5,0.841,0.7,2.9,3.6,1.6,0.7,0.4,1.0,2.0,14.4,,UConn
3.0,Alex Karaban,F,33,33,35.9,4.9,11.2,0.438,2.1,5.9,0.347,2.8,5.2,0.541,0.53,2.5,3.0,0.828,1.6,3.6,5.3,2.8,0.6,1.5,1.3,2.0,14.3,,UConn
4.0,Tarris Reed Jr.,F,35,1,19.9,3.9,5.8,0.67,0.0,0.0,,3.9,5.8,0.67,0.67,1.9,2.9,0.644,2.7,4.6,7.3,1.0,0.7,1.6,1.2,2.7,9.6,,UConn
5.0,Hassan Diarra,G,35,28,27.9,2.6,6.1,0.421,0.7,2.3,0.288,1.9,3.8,0.5,0.474,1.9,2.3,0.84,1.3,2.3,3.7,5.7,1.6,0.3,2.1,2.2,7.7,,UConn
6.0,Samson Johnson,F,34,34,19.4,3.2,4.1,0.766,0.0,0.0,,3.2,4.1,0.766,0.766,1.1,1.5,0.76,1.4,2.1,3.5,1.0,0.7,1.5,1.1,2.9,7.5,,UConn
7.0,Jaylin Stewart,F,35,12,17.8,2.1,3.8,0.545,0.7,1.9,0.364,1.4,1.9,0.721,0.634,0.5,0.7,0.72,0.9,1.5,2.4,0.9,0.1,0.3,0.7,1.7,5.4,,UConn
8.0,Aidan Mahaney,G,34,5,12.4,1.5,4.1,0.377,0.7,1.9,0.359,0.9,2.2,0.392,0.46,0.7,1.0,0.758,0.1,0.7,0.8,1.3,0.2,0.0,0.6,1.5,4.5,,UConn
9.0,Jayden Ross,F,33,1,11.4,1.0,2.4,0.405,0.3,1.4,0.222,0.7,1.0,0.647,0.468,0.1,0.2,0.667,0.3,1.2,1.5,0.8,0.3,0.4,0.3,1.3,2.4,,UConn
10.0,Isaiah Abraham,F,9,0,3.6,0.6,1.2,0.455,0.3,0.8,0.429,0.2,0.4,0.5,0.591,0.1,0.1,1.0,0.2,0.3,0.6,0.0,0.1,0.0,0.2,0.6,1.6,,UConn
11.0,Ahmad Nowell,G,18,0,6.4,0.6,1.6,0.357,0.2,0.9,0.188,0.4,0.7,0.583,0.411,0.2,0.4,0.571,0.4,0.6,0.9,1.1,0.2,0.2,0.5,0.6,1.5,,UConn
12.0,Youssouf Singare,C,16,0,2.6,0.2,0.3,0.75,0.0,0.0,,0.2,0.3,0.75,0.75,0.0,0.0,,0.2,0.6,0.8,0.1,0.1,0.2,0.1,0.7,0.4,,UConn
,Team Totals,,35,35,202.9,27.3,57.4,0.475,8.5,24.5,0.348,18.7,32.9,0.57,0.55,14.0,17.7,0.791,11.2,24.5,35.7,17.3,5.4,6.2,11.1,18.3,77.0,,UConn
1.0,RJ Davis,G,37,37,34.2,5.5,13.4,0.413,2.3,6.5,0.354,3.2,6.9,0.469,0.499,3.9,4.5,0.873,0.3,3.1,3.4,3.6,1.0,0.1,1.5,1.7,17.2,,UNC
2.0,Ian Jackson,G,36,12,23.8,4.2,9.2,0.456,1.7,4.2,0.395,2.5,5.0,0.508,0.547,1.9,2.6,0.723,0.4,2.3,2.7,0.9,0.6,0.2,1.2,1.6,11.9,,UNC
3.0,Seth Trimble,G,34,18,28.6,3.8,8.8,0.428,0.7,2.8,0.266,3.0,6.0,0.502,0.47,3.4,4.1,0.821,1.2,3.8,5.0,1.3,1.4,0.3,1.1,1.6,11.6,,UNC
4.0,Elliot Cadeau,G,37,37,27.8,3.4,7.6,0.445,0.8,2.3,0.337,2.6,5.3,0.492,0.496,1.8,2.6,0.67,0.4,2.5,2.9,6.2,1.1,0.3,3.1,2.8,9.4,,UNC
5.0,Ven-Allen Lubin,F,37,20,19.6,3.6,5.3,0.684,0.0,0.1,0.0,3.6,5.2,0.694,0.684,1.5,2.1,0.711,1.9,3.6,5.5,0.3,0.4,0.9,0.8,2.1,8.7,,UNC
6.0,Drake Powell,G,37,24,25.6,2.8,5.7,0.483,1.0,2.6,0.379,1.8,3.1,0.569,0.569,0.9,1.5,0.648,0.7,2.7,3.4,1.1,0.7,0.7,0.7,1.8,7.4,,UNC
7.0,Jae'lyn Withers,F,37,20,17.5,2.2,4.4,0.488,1.1,2.4,0.443,1.1,2.1,0.539,0.607,1.1,1.5,0.714,0.8,3.6,4.5,0.7,0.4,0.4,0.9,1.6,6.5,,UNC
8.0,Jalen Washington,F,36,16,15.9,2.3,3.8,0.594,0.1,0.5,0.278,2.1,3.3,0.642,0.612,1.0,1.6,0.638,1.3,2.9,4.2,0.5,0.3,0.8,1.0,2.3,5.7,,UNC
9.0,Cade Tyson,F,31,0,7.9,0.9,2.3,0.403,0.5,1.5,0.292,0.5,0.8,0.625,0.5,0.3,0.5,0.563,0.3,0.8,1.1,0.1,0.2,0.0,0.1,1.0,2.6,,UNC
10.0,James Brown,F,18,0,2.9,0.6,0.8,0.714,0.0,0.0,,0.6,0.8,0.714,0.714,0.1,0.3,0.2,0.4,0.4,0.8,0.0,0.1,0.0,0.2,0.6,1.2,,UNC
11.0,Tyzhaun Claude,F,20,1,4.9,0.5,0.9,0.5,0.0,0.0,,0.5,0.9,0.5,0.5,0.3,0.7,0.429,0.8,0.8,1.6,0.1,0.2,0.1,0.2,1.2,1.2,,UNC
12.0,Dante Mayo Jr.,G,8,0,1.5,0.3,0.6,0.4,0.3,0.6,0.4,0.0,0.0,,0.6,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.8,,UNC
13.0,John Holbrook,F,8,0,1.3,0.1,0.3,0.5,0.0,0.0,,0.1,0.3,0.5,0.5,0.0,0.0,,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.3,,UNC
14.0,Russell Hawkins,G,9,0,1.7,0.1,0.3,0.333,0.0,0.0,,0.1,0.3,0.333,0.333,0.0,0.0,,0.0,0.1,0.1,0.6,0.0,0.0,0.2,0.2,0.2,,UNC
